step	kind	target	field	old	new	reason
s30	effect	T1「名」效果46	quantity	2555920	class0 ＋10000	§3.3e 還原公式
s30	effect	T1「名」效果87	quantity	7929889	class0 ＋31009	§3.3e 還原公式
s30	effect	T160「8城」效果16	quantity	852162	class0 ＋3522	§3.3e 還原公式
s30	effect	T160「8城」效果24	quantity	65570	class0 ＋290	§3.3e 還原公式
s30	effect	T160「8城」效果26	quantity	196633	class0 ＋793	§3.3e 還原公式
s30	effect	T160「8城」效果34	quantity	196828	class0 ＋988	§3.3e 還原公式
s30	effect	T160「8城」效果37	quantity	131148	class0 ＋588	§3.3e 還原公式
s30	effect	T160「8城」效果43	quantity	65776	class0 ＋496	§3.3e 還原公式
s30	effect	T160「8城」效果62	quantity	917649	class0 ＋3729	§3.3e 還原公式
s30	effect	T1811「白2」效果7	quantity	1245303	class0 ＋4983	§3.3e 還原公式
s30	effect	T1827「1女4」效果1	quantity	-100	class0 −100	§3.3e 還原公式
s30	effect	T1827「1女4」效果4	quantity	-100	class0 −100	§3.3e 還原公式
s30	effect	T1831「2女4」效果2	quantity	-125	class0 −125	§3.3e 還原公式
s30	effect	T1831「2女4」效果4	quantity	-125	class0 −125	§3.3e 還原公式
s30	effect	T1835「3女4」效果2	quantity	-100	class0 −100	§3.3e 還原公式
s30	effect	T1835「3女4」效果4	quantity	-100	class0 −100	§3.3e 還原公式
s30	effect	T1839「4女4」效果2	quantity	-100	class0 −100	§3.3e 還原公式
s30	effect	T1839「4女4」效果4	quantity	-100	class0 −100	§3.3e 還原公式
s30	effect	T1843「5女4」效果2	quantity	-100	class0 −100	§3.3e 還原公式
s30	effect	T1843「5女4」效果4	quantity	-100	class0 −100	§3.3e 還原公式
s30	effect	T1847「6女4」效果2	quantity	-100	class0 −100	§3.3e 還原公式
s30	effect	T1847「6女4」效果4	quantity	-100	class0 −100	§3.3e 還原公式
s30	effect	T2038「少林」效果10	quantity	786647	class0 ＋3287	§3.3e 還原公式
s30	effect	T2038「少林」效果13	quantity	655544	class0 ＋2744	§3.3e 還原公式
s30	effect	T2038「少林」效果16	quantity	852023	class0 ＋3383	§3.3e 還原公式
s30	effect	T2038「少林」效果19	quantity	458957	class0 ＋1997	§3.3e 還原公式
s30	effect	T2038「少林」效果22	quantity	721076	class0 ＋2996	§3.3e 還原公式
s30	effect	T2038「少林」效果25	quantity	721063	class0 ＋2983	§3.3e 還原公式
s30	effect	T2038「少林」效果30	quantity	983183	class0 ＋3983	§3.3e 還原公式
s30	effect	T2038「少林」效果33	quantity	1245307	class0 ＋4987	§3.3e 還原公式
s30	effect	T2038「少林」效果36	quantity	1507423	class0 ＋5983	§3.3e 還原公式
s30	effect	T2038「少林」效果41	quantity	1245307	class0 ＋4987	§3.3e 還原公式
s30	effect	T2038「少林」效果44	quantity	589979	class0 ＋2459	§3.3e 還原公式
s30	effect	T2038「少林」效果47	quantity	327696	class0 ＋1296	§3.3e 還原公式
s30	effect	T2063「1刀32」效果0	quantity	-108	class0 −108	§3.3e 還原公式
s30	effect	T2063「1刀32」效果3	quantity	-108	class0 −108	§3.3e 還原公式
s30	effect	T2065「2劍32」效果0	quantity	-138	class0 −138	§3.3e 還原公式
s30	effect	T2065「2劍32」效果3	quantity	-138	class0 −138	§3.3e 還原公式
s30	effect	T2067「3槍32」效果0	quantity	-108	class0 −108	§3.3e 還原公式
s30	effect	T2067「3槍32」效果3	quantity	-108	class0 −108	§3.3e 還原公式
s30	effect	T2069「4棍32」效果0	quantity	-108	class0 −108	§3.3e 還原公式
s30	effect	T2069「4棍32」效果3	quantity	-108	class0 −108	§3.3e 還原公式
s30	effect	T2071「5拳32」效果0	quantity	-88	class0 −88	§3.3e 還原公式
s30	effect	T2071「5拳32」效果3	quantity	-98	class0 −98	§3.3e 還原公式
s30	effect	T2073「6箭32」效果0	quantity	-142	class0 −142	§3.3e 還原公式
s30	effect	T2073「6箭32」效果3	quantity	-142	class0 −142	§3.3e 還原公式
s30	effect	T2074「1刀5」效果0	quantity	65652	class0 ＋372	§3.3e 還原公式
s30	effect	T2074「1刀5」效果3	quantity	65652	class0 ＋372	§3.3e 還原公式
s30	effect	T2075「1刀52」效果0	quantity	-65652	class0 −372	§3.3e 還原公式
s30	effect	T2075「1刀52」效果3	quantity	-65652	class0 −372	§3.3e 還原公式
s30	effect	T2076「2劍5」效果0	quantity	65757	class0 ＋477	§3.3e 還原公式
s30	effect	T2076「2劍5」效果3	quantity	65757	class0 ＋477	§3.3e 還原公式
s30	effect	T2077「2劍52」效果0	quantity	-65757	class0 −477	§3.3e 還原公式
s30	effect	T2077「2劍52」效果3	quantity	-65757	class0 −477	§3.3e 還原公式
s30	effect	T2078「3槍5」效果0	quantity	65652	class0 ＋372	§3.3e 還原公式
s30	effect	T2078「3槍5」效果3	quantity	65652	class0 ＋372	§3.3e 還原公式
s30	effect	T2079「3槍52」效果0	quantity	-65652	class0 −372	§3.3e 還原公式
s30	effect	T2079「3槍52」效果3	quantity	-65652	class0 −372	§3.3e 還原公式
s30	effect	T2080「4棍5」效果0	quantity	65652	class0 ＋372	§3.3e 還原公式
s30	effect	T2080「4棍5」效果3	quantity	65652	class0 ＋372	§3.3e 還原公式
s30	effect	T2081「4棍52」效果0	quantity	-65652	class0 −372	§3.3e 還原公式
s30	effect	T2081「4棍52」效果3	quantity	-65652	class0 −372	§3.3e 還原公式
s30	effect	T2082「5拳5」效果0	quantity	65644	class0 ＋364	§3.3e 還原公式
s30	effect	T2082「5拳5」效果3	quantity	65644	class0 ＋364	§3.3e 還原公式
s30	effect	T2083「5拳52」效果0	quantity	-65644	class0 −364	§3.3e 還原公式
s30	effect	T2083「5拳52」效果3	quantity	-65644	class0 −364	§3.3e 還原公式
s30	effect	T2084「6箭5」效果0	quantity	131103	class0 ＋543	§3.3e 還原公式
s30	effect	T2084「6箭5」效果3	quantity	131103	class0 ＋543	§3.3e 還原公式
s30	effect	T2085「6箭52」效果0	quantity	-131103	class0 −543	§3.3e 還原公式
s30	effect	T2085「6箭52」效果3	quantity	-131103	class0 −543	§3.3e 還原公式
s30	effect	T2130「快名」效果34	quantity	65595	class0 ＋315	§3.3e 還原公式
s30	effect	T2198「1刀7」效果0	quantity	196696	class0 ＋856	§3.3e 還原公式
s30	effect	T2198「1刀7」效果3	quantity	196696	class0 ＋856	§3.3e 還原公式
s30	effect	T2199「1刀72」效果0	quantity	-196696	class0 −856	§3.3e 還原公式
s30	effect	T2199「1刀72」效果3	quantity	-196696	class0 −856	§3.3e 還原公式
s30	effect	T2200「2劍7」效果0	quantity	262236	class0 ＋1116	§3.3e 還原公式
s30	effect	T2200「2劍7」效果3	quantity	262236	class0 ＋1116	§3.3e 還原公式
s30	effect	T2201「2劍72」效果0	quantity	-262236	class0 −1116	§3.3e 還原公式
s30	effect	T2201「2劍72」效果3	quantity	-262236	class0 −1116	§3.3e 還原公式
s30	effect	T2202「3槍7」效果0	quantity	196696	class0 ＋856	§3.3e 還原公式
s30	effect	T2202「3槍7」效果3	quantity	196696	class0 ＋856	§3.3e 還原公式
s30	effect	T2203「3槍72」效果0	quantity	-196696	class0 −856	§3.3e 還原公式
s30	effect	T2203「3槍72」效果3	quantity	-196696	class0 −856	§3.3e 還原公式
s30	effect	T2204「4棍7」效果0	quantity	196696	class0 ＋856	§3.3e 還原公式
s30	effect	T2204「4棍7」效果3	quantity	196696	class0 ＋856	§3.3e 還原公式
s30	effect	T2205「4棍72」效果0	quantity	-196696	class0 −856	§3.3e 還原公式
s30	effect	T2205「4棍72」效果3	quantity	-196696	class0 −856	§3.3e 還原公式
s30	effect	T2206「5拳7」效果0	quantity	131256	class0 ＋696	§3.3e 還原公式
s30	effect	T2206「5拳7」效果3	quantity	131256	class0 ＋696	§3.3e 還原公式
s30	effect	T2207「5拳72」效果0	quantity	-131256	class0 −696	§3.3e 還原公式
s30	effect	T2207「5拳72」效果3	quantity	-131256	class0 −696	§3.3e 還原公式
s30	effect	T2208「6暗7」效果0	quantity	393216	class0 ＋1536	§3.3e 還原公式
s30	effect	T2208「6暗7」效果3	quantity	393216	class0 ＋1536	§3.3e 還原公式
s30	effect	T2209「6暗72」效果0	quantity	16384000	class0 −1536	§3.3e 還原公式
s30	effect	T2209「6暗72」效果3	quantity	16384000	class0 −1536	§3.3e 還原公式
s30	effect	T2213「1刀合4」效果5	quantity	65665	class0 ＋385	§3.3e 還原公式
s30	effect	T2213「1刀合4」效果8	quantity	65665	class0 ＋385	§3.3e 還原公式
s30	effect	T2218「2劍合4」效果4	quantity	65670	class0 ＋390	§3.3e 還原公式
s30	effect	T2218「2劍合4」效果8	quantity	65670	class0 ＋390	§3.3e 還原公式
s30	effect	T2238「6飛4」效果4	quantity	196675	class0 ＋835	§3.3e 還原公式
s30	effect	T2238「6飛4」效果7	quantity	196675	class0 ＋835	§3.3e 還原公式
s30	effect	T2280「1刀9」效果0	quantity	1048716	class0 ＋4236	§3.3e 還原公式
s30	effect	T2280「1刀9」效果2	quantity	1048716	class0 ＋4236	§3.3e 還原公式
s30	effect	T2281「1刀92」效果0	quantity	15663220	class0 −4236	§3.3e 還原公式
s30	effect	T2281「1刀92」效果2	quantity	15663220	class0 −4236	§3.3e 還原公式
s30	effect	T2282「2劍9」效果0	quantity	1048716	class0 ＋4236	§3.3e 還原公式
s30	effect	T2282「2劍9」效果2	quantity	1048716	class0 ＋4236	§3.3e 還原公式
s30	effect	T2283「2劍92」效果0	quantity	15663220	class0 −4236	§3.3e 還原公式
s30	effect	T2283「2劍92」效果2	quantity	15663220	class0 −4236	§3.3e 還原公式
s30	effect	T2284「3槍9」效果0	quantity	1179734	class0 ＋4694	§3.3e 還原公式
s30	effect	T2284「3槍9」效果2	quantity	1179734	class0 ＋4694	§3.3e 還原公式
s30	effect	T2285「3槍92」效果0	quantity	15532202	class0 −4694	§3.3e 還原公式
s30	effect	T2285「3槍92」效果2	quantity	15532202	class0 −4694	§3.3e 還原公式
s30	effect	T2286「4棍9」效果0	quantity	917610	class0 ＋3690	§3.3e 還原公式
s30	effect	T2286「4棍9」效果2	quantity	917610	class0 ＋3690	§3.3e 還原公式
s30	effect	T2287「4棍92」效果0	quantity	15794326	class0 −3690	§3.3e 還原公式
