step	kind	target	field	old	new	reason
s36	trigger_add	屬性校正	trigger		新增	換皮屬性校正初始化觸發
s36	attr_fix	P1 const1811	attr0	op1	75	換皮屬性校正
s36	attr_fix	P1 const1811	attr9	op1	c4:10	換皮屬性校正
s36	attr_fix	P1 const1811	attr8	op1	c4:0	換皮屬性校正
s36	attr_fix	P1 const1811	attr8	op1	c3:0	換皮屬性校正
s36	attr_fix	P1 const1811	attr10	op1	3	換皮屬性校正
s36	attr_fix	P1 const1811	attr10	op5	2	換皮屬性校正
s36	attr_fix	P1 const1811	attr5	op1	88	換皮屬性校正
s36	attr_fix	P1 const1811	attr5	op5	100	換皮屬性校正
s36	attr_fix	P2 const1811	attr0	op1	75	換皮屬性校正
s36	attr_fix	P2 const1811	attr9	op1	c4:10	換皮屬性校正
s36	attr_fix	P2 const1811	attr8	op1	c4:0	換皮屬性校正
s36	attr_fix	P2 const1811	attr8	op1	c3:0	換皮屬性校正
s36	attr_fix	P2 const1811	attr10	op1	3	換皮屬性校正
s36	attr_fix	P2 const1811	attr10	op5	2	換皮屬性校正
s36	attr_fix	P2 const1811	attr5	op1	88	換皮屬性校正
s36	attr_fix	P2 const1811	attr5	op5	100	換皮屬性校正
s36	attr_fix	P3 const1811	attr0	op1	75	換皮屬性校正
s36	attr_fix	P3 const1811	attr9	op1	c4:10	換皮屬性校正
s36	attr_fix	P3 const1811	attr8	op1	c4:0	換皮屬性校正
s36	attr_fix	P3 const1811	attr8	op1	c3:0	換皮屬性校正
s36	attr_fix	P3 const1811	attr10	op1	3	換皮屬性校正
s36	attr_fix	P3 const1811	attr10	op5	2	換皮屬性校正
s36	attr_fix	P3 const1811	attr5	op1	88	換皮屬性校正
s36	attr_fix	P3 const1811	attr5	op5	100	換皮屬性校正
s36	attr_fix	P4 const1811	attr0	op1	75	換皮屬性校正
s36	attr_fix	P4 const1811	attr9	op1	c4:10	換皮屬性校正
s36	attr_fix	P4 const1811	attr8	op1	c4:0	換皮屬性校正
s36	attr_fix	P4 const1811	attr8	op1	c3:0	換皮屬性校正
s36	attr_fix	P4 const1811	attr10	op1	3	換皮屬性校正
s36	attr_fix	P4 const1811	attr10	op5	2	換皮屬性校正
s36	attr_fix	P4 const1811	attr5	op1	88	換皮屬性校正
s36	attr_fix	P4 const1811	attr5	op5	100	換皮屬性校正
s36	attr_fix	P5 const1811	attr0	op1	75	換皮屬性校正
s36	attr_fix	P5 const1811	attr9	op1	c4:10	換皮屬性校正
s36	attr_fix	P5 const1811	attr8	op1	c4:0	換皮屬性校正
s36	attr_fix	P5 const1811	attr8	op1	c3:0	換皮屬性校正
s36	attr_fix	P5 const1811	attr10	op1	3	換皮屬性校正
s36	attr_fix	P5 const1811	attr10	op5	2	換皮屬性校正
s36	attr_fix	P5 const1811	attr5	op1	88	換皮屬性校正
s36	attr_fix	P5 const1811	attr5	op5	100	換皮屬性校正
s36	attr_fix	P6 const1811	attr0	op1	75	換皮屬性校正
s36	attr_fix	P6 const1811	attr9	op1	c4:10	換皮屬性校正
s36	attr_fix	P6 const1811	attr8	op1	c4:0	換皮屬性校正
s36	attr_fix	P6 const1811	attr8	op1	c3:0	換皮屬性校正
s36	attr_fix	P6 const1811	attr10	op1	3	換皮屬性校正
s36	attr_fix	P6 const1811	attr10	op5	2	換皮屬性校正
s36	attr_fix	P6 const1811	attr5	op1	88	換皮屬性校正
s36	attr_fix	P6 const1811	attr5	op5	100	換皮屬性校正
s36	attr_fix	P7 const1811	attr0	op1	75	換皮屬性校正
s36	attr_fix	P7 const1811	attr9	op1	c4:10	換皮屬性校正
s36	attr_fix	P7 const1811	attr8	op1	c4:0	換皮屬性校正
s36	attr_fix	P7 const1811	attr8	op1	c3:0	換皮屬性校正
s36	attr_fix	P7 const1811	attr10	op1	3	換皮屬性校正
s36	attr_fix	P7 const1811	attr10	op5	2	換皮屬性校正
s36	attr_fix	P7 const1811	attr5	op1	88	換皮屬性校正
s36	attr_fix	P7 const1811	attr5	op5	100	換皮屬性校正
s36	attr_fix	P8 const1811	attr0	op1	75	換皮屬性校正
s36	attr_fix	P8 const1811	attr9	op1	c4:10	換皮屬性校正
s36	attr_fix	P8 const1811	attr8	op1	c4:0	換皮屬性校正
s36	attr_fix	P8 const1811	attr8	op1	c3:0	換皮屬性校正
s36	attr_fix	P8 const1811	attr10	op1	3	換皮屬性校正
s36	attr_fix	P8 const1811	attr10	op5	2	換皮屬性校正
s36	attr_fix	P8 const1811	attr5	op1	88	換皮屬性校正
s36	attr_fix	P8 const1811	attr5	op5	100	換皮屬性校正
s36	attr_fix	P7 const329	attr0	op1	110	換皮屬性校正
s36	attr_fix	P7 const329	attr9	op1	c4:7	換皮屬性校正
s36	attr_fix	P8 const329	attr0	op1	110	換皮屬性校正
s36	attr_fix	P8 const329	attr9	op1	c4:7	換皮屬性校正
s36	attr_fix	P8 const74	attr0	op1	45	換皮屬性校正
s36	attr_fix	P8 const74	attr9	op1	c4:0	換皮屬性校正
s36	gate_hp	ref50437	hit_points	（dat 1650）	2750	城門血逐ref校正（防波及既有c88）
