step	kind	target	field	old	new	reason
s371	rename	T4662	name	觸發事件 4816	亡魂連鎖4816	座位首碼命名
s371	rename	T4664	name	觸發事件 4818	亡魂連鎖4818	座位首碼命名
s371	rename	T4666	name	觸發事件 4820	亡魂連鎖4820	座位首碼命名
s371	rename	T4668	name	觸發事件 4822	亡魂連鎖4822	座位首碼命名
s371	rename	T4670	name	觸發事件 4824	亡魂連鎖4824	座位首碼命名
s371	rename	T4674	name	觸發事件 4829	亡魂連鎖4829	座位首碼命名
s371	rename	T4675	name	觸發事件 4830	亡魂連鎖4830	座位首碼命名
s371	rename	T4676	name	觸發事件 4831	亡魂連鎖4831	座位首碼命名
s371	rename	T4678	name	觸發事件 4833	亡魂連鎖4833	座位首碼命名
s371	rename	T4681	name	觸發事件 4836	亡魂連鎖4836	座位首碼命名
s371	rename	T4752	name	觸發事件 4910	巡邏4910	座位首碼命名
s371	rename	T4753	name	觸發事件 4912	巡邏4912	座位首碼命名
s371	rename	T4754	name	觸發事件 4913	初始化4913	座位首碼命名
s371	rename	T4755	name	觸發事件 4914	死亡傷害4914	座位首碼命名
s371	rename	T4756	name	觸發事件 4915	周賓毀咒起	座位首碼命名
s371	rename	T4757	name	觸發事件 4916	1惠顧	座位首碼命名
s371	rename	T4758	name	觸發事件 4917	2惠顧	座位首碼命名
s371	rename	T4759	name	觸發事件 4918	3惠顧	座位首碼命名
s371	rename	T4760	name	觸發事件 4919	4惠顧	座位首碼命名
s371	rename	T4761	name	觸發事件 4920	5惠顧	座位首碼命名
s371	rename	T4762	name	觸發事件 4921	6惠顧	座位首碼命名
s371	rename	T4763	name	觸發事件 4922	巡邏4922	座位首碼命名
s371	rename	T4765	name	觸發事件 4924	2回血術得	座位首碼命名
s371	rename	T4768	name	觸發事件 4927	5回血術得	座位首碼命名
s371	rename	T4771	name	觸發事件 4930	4回血術得	座位首碼命名
s371	rename	T4774	name	觸發事件 4933	1回血術迴圈	座位首碼命名
