step	kind	target	field	old	new	reason
s373	eff_add	T2711「母夜叉」	change_object_name		(198,155)→「Lv52 母夜叉」	野怪生成改名
s373	eff_add	T2711「母夜叉」	change_object_name		(197,152)→「Lv52 母夜叉」	野怪生成改名
s373	eff_add	T2711「母夜叉」	change_object_name		(192,158)→「Lv52 母夜叉」	野怪生成改名
s373	eff_add	T2712「青武」	change_object_name		(237,133)→「Lv55 青武」	野怪生成改名
s373	eff_add	T2712「青武」	change_object_name		(230,117)→「Lv55 青武」	野怪生成改名
s373	eff_add	T2712「青武」	change_object_name		(225,132)→「Lv55 青武」	野怪生成改名
s373	eff_add	T2712「青武」	change_object_name		(231,124)→「Lv55 青武」	野怪生成改名
s373	eff_add	T2712「青武」	change_object_name		(237,116)→「Lv55 青武」	野怪生成改名
s373	eff_add	T2713「渦鬼(珠光)」	change_object_name		(143,195)→「Lv250 渦鬼」	野怪生成改名
s373	eff_add	T2713「渦鬼(珠光)」	change_object_name		(134,187)→「Lv250 渦鬼」	野怪生成改名
s373	eff_add	T2713「渦鬼(珠光)」	change_object_name		(149,187)→「Lv250 渦鬼」	野怪生成改名
s373	eff_add	T2713「渦鬼(珠光)」	change_object_name		(132,196)→「Lv250 渦鬼」	野怪生成改名
s373	eff_add	T2713「渦鬼(珠光)」	change_object_name		(126,193)→「Lv250 渦鬼」	野怪生成改名
s373	eff_add	T2713「渦鬼(珠光)」	change_object_name		(127,186)→「Lv250 渦鬼」	野怪生成改名
s373	eff_add	T2713「渦鬼(珠光)」	change_object_name		(118,188)→「Lv250 渦鬼」	野怪生成改名
s373	eff_add	T2713「渦鬼(珠光)」	change_object_name		(115,194)→「Lv250 渦鬼」	野怪生成改名
s373	eff_add	T2713「渦鬼(珠光)」	change_object_name		(112,190)→「Lv250 渦鬼」	野怪生成改名
s373	eff_add	T2714「渦鬼(殺人)」	change_object_name		(151,216)→「Lv250 渦鬼」	野怪生成改名
s373	eff_add	T2714「渦鬼(殺人)」	change_object_name		(158,217)→「Lv250 渦鬼」	野怪生成改名
s373	eff_add	T2714「渦鬼(殺人)」	change_object_name		(166,216)→「Lv250 渦鬼」	野怪生成改名
s373	eff_add	T2715「孽僧」	change_object_name		(140,181)→「Lv59 孽僧」	野怪生成改名
s373	eff_add	T2715「孽僧」	change_object_name		(130,178)→「Lv59 孽僧」	野怪生成改名
s373	eff_add	T2715「孽僧」	change_object_name		(144,173)→「Lv59 孽僧」	野怪生成改名
s373	eff_add	T2715「孽僧」	change_object_name		(134,173)→「Lv59 孽僧」	野怪生成改名
s373	eff_add	T2715「孽僧」	change_object_name		(124,170)→「Lv59 孽僧」	野怪生成改名
s373	eff_add	T2715「孽僧」	change_object_name		(119,164)→「Lv59 孽僧」	野怪生成改名
s373	eff_add	T2715「孽僧」	change_object_name		(123,157)→「Lv59 孽僧」	野怪生成改名
s373	eff_add	T2715「孽僧」	change_object_name		(131,157)→「Lv59 孽僧」	野怪生成改名
s373	eff_add	T2715「孽僧」	change_object_name		(138,163)→「Lv59 孽僧」	野怪生成改名
s373	eff_add	T2716「獅頭魔」	change_object_name		(132,217)→「Lv60 獅頭魔」	野怪生成改名
s373	eff_add	T2716「獅頭魔」	change_object_name		(142,215)→「Lv60 獅頭魔」	野怪生成改名
s373	eff_add	T2716「獅頭魔」	change_object_name		(137,218)→「Lv60 獅頭魔」	野怪生成改名
s373	eff_add	T2716「獅頭魔」	change_object_name		(137,212)→「Lv60 獅頭魔」	野怪生成改名
s373	eff_add	T2717「石獅」	change_object_name		(237,218)→「Lv61 石獅」	野怪生成改名
s373	eff_add	T2717「石獅」	change_object_name		(231,216)→「Lv61 石獅」	野怪生成改名
s373	eff_add	T2717「石獅」	change_object_name		(229,223)→「Lv61 石獅」	野怪生成改名
s373	eff_add	T2718「斬狂」	change_object_name		(205,229)→「Lv61 斬狂」	野怪生成改名
s373	eff_add	T2718「斬狂」	change_object_name		(206,235)→「Lv61 斬狂」	野怪生成改名
s373	eff_add	T2718「斬狂」	change_object_name		(199,239)→「Lv61 斬狂」	野怪生成改名
s373	eff_add	T2718「斬狂」	change_object_name		(198,233)→「Lv61 斬狂」	野怪生成改名
s373	eff_add	T2719「幽靈武士」	change_object_name		(162,224)→「Lv65 幽靈武士」	野怪生成改名
s373	eff_add	T2719「幽靈武士」	change_object_name		(162,231)→「Lv65 幽靈武士」	野怪生成改名
s373	eff_add	T2719「幽靈武士」	change_object_name		(152,225)→「Lv65 幽靈武士」	野怪生成改名
s373	eff_add	T2719「幽靈武士」	change_object_name		(155,232)→「Lv65 幽靈武士」	野怪生成改名
s373	eff_add	T2720「赤武」	change_object_name		(231,100)→「Lv66 赤武」	野怪生成改名
s373	eff_add	T2720「赤武」	change_object_name		(237,94)→「Lv66 赤武」	野怪生成改名
s373	eff_add	T2720「赤武」	change_object_name		(233,91)→「Lv66 赤武」	野怪生成改名
s373	eff_add	T2720「赤武」	change_object_name		(235,88)→「Lv66 赤武」	野怪生成改名
s373	eff_add	T2720「赤武」	change_object_name		(239,85)→「Lv66 赤武」	野怪生成改名
s373	eff_add	T2721「狂屍」	change_object_name		(171,141)→「Lv87 狂屍」	野怪生成改名
s373	eff_add	T2721「狂屍」	change_object_name		(171,147)→「Lv87 狂屍」	野怪生成改名
s373	eff_add	T2721「狂屍」	change_object_name		(163,149)→「Lv87 狂屍」	野怪生成改名
s373	eff_add	T2721「狂屍」	change_object_name		(159,145)→「Lv87 狂屍」	野怪生成改名
s373	eff_add	T2721「狂屍」	change_object_name		(155,155)→「Lv87 狂屍」	野怪生成改名
s373	eff_add	T2721「狂屍」	change_object_name		(160,160)→「Lv87 狂屍」	野怪生成改名
s373	eff_add	T2721「狂屍」	change_object_name		(165,156)→「Lv87 狂屍」	野怪生成改名
s373	eff_add	T2722「血鋼爪」	change_object_name		(81,219)→「Lv65 血鋼爪」	野怪生成改名
s373	eff_add	T2722「血鋼爪」	change_object_name		(83,210)→「Lv65 血鋼爪」	野怪生成改名
s373	eff_add	T2722「血鋼爪」	change_object_name		(89,207)→「Lv65 血鋼爪」	野怪生成改名
s373	eff_add	T2722「血鋼爪」	change_object_name		(69,207)→「Lv65 血鋼爪」	野怪生成改名
s373	eff_add	T2722「血鋼爪」	change_object_name		(66,214)→「Lv65 血鋼爪」	野怪生成改名
s373	eff_add	T2722「血鋼爪」	change_object_name		(64,209)→「Lv65 血鋼爪」	野怪生成改名
s373	eff_add	T2724「飛鵬幫戰將」	change_object_name		(66,191)→「Lv90 飛鵬幫戰將」	野怪生成改名
s373	eff_add	T2724「飛鵬幫戰將」	change_object_name		(69,191)→「Lv90 飛鵬幫戰將」	野怪生成改名
s373	eff_add	T2726「狂夜叉(下)」	change_object_name		(39,194)→「Lv101 狂夜叉」	野怪生成改名
s373	eff_add	T2726「狂夜叉(下)」	change_object_name		(35,197)→「Lv101 狂夜叉」	野怪生成改名
s373	eff_add	T2726「狂夜叉(下)」	change_object_name		(36,191)→「Lv101 狂夜叉」	野怪生成改名
s373	eff_add	T2726「狂夜叉(下)」	change_object_name		(30,190)→「Lv101 狂夜叉」	野怪生成改名
s373	eff_add	T2726「狂夜叉(下)」	change_object_name		(24,189)→「Lv101 狂夜叉」	野怪生成改名
s373	eff_add	T2726「狂夜叉(下)」	change_object_name		(22,198)→「Lv101 狂夜叉」	野怪生成改名
s373	eff_add	T2726「狂夜叉(下)」	change_object_name		(17,203)→「Lv101 狂夜叉」	野怪生成改名
s373	eff_add	T2727「狂夜叉(上)」	change_object_name		(75,169)→「Lv101 狂夜叉」	野怪生成改名
s373	eff_add	T2727「狂夜叉(上)」	change_object_name		(74,164)→「Lv101 狂夜叉」	野怪生成改名
s373	eff_add	T2727「狂夜叉(上)」	change_object_name		(69,169)→「Lv101 狂夜叉」	野怪生成改名
s373	eff_add	T2727「狂夜叉(上)」	change_object_name		(75,162)→「Lv101 狂夜叉」	野怪生成改名
s373	eff_add	T2727「狂夜叉(上)」	change_object_name		(77,169)→「Lv101 狂夜叉」	野怪生成改名
s373	eff_add	T2728「炎武(左)」	change_object_name		(92,157)→「Lv110 炎武」	野怪生成改名
s373	eff_add	T2728「炎武(左)」	change_object_name		(91,162)→「Lv110 炎武」	野怪生成改名
s373	eff_add	T2728「炎武(左)」	change_object_name		(87,161)→「Lv110 炎武」	野怪生成改名
s373	eff_add	T2729「炎武(右)」	change_object_name		(43,132)→「Lv110 炎武」	野怪生成改名
s373	eff_add	T2729「炎武(右)」	change_object_name		(38,135)→「Lv110 炎武」	野怪生成改名
s373	eff_add	T2729「炎武(右)」	change_object_name		(44,136)→「Lv110 炎武」	野怪生成改名
s373	eff_add	T2729「炎武(右)」	change_object_name		(41,138)→「Lv110 炎武」	野怪生成改名
s373	eff_add	T2730「靈鳳劍仙」	change_object_name		(15,182)→「Lv120 靈鳳劍仙」	野怪生成改名
s373	eff_add	T2730「靈鳳劍仙」	change_object_name		(16,177)→「Lv120 靈鳳劍仙」	野怪生成改名
s373	eff_add	T2730「靈鳳劍仙」	change_object_name		(10,175)→「Lv120 靈鳳劍仙」	野怪生成改名
s373	eff_add	T2730「靈鳳劍仙」	change_object_name		(6,184)→「Lv120 靈鳳劍仙」	野怪生成改名
