step	kind	target	field	old	new	reason
s374	effect	T2711「母夜叉」(198,155)	hp_add	1118	2568	Lv52 目標血 2668
s374	effect	T2711「母夜叉」(198,155)	atk_add	265	421	Lv52 目標攻 433（m）
s374	effect	T2711「母夜叉」(197,152)	hp_add	1118	2568	Lv52 目標血 2668
s374	effect	T2711「母夜叉」(197,152)	atk_add	265	421	Lv52 目標攻 433（m）
s374	effect	T2711「母夜叉」(192,158)	hp_add	1118	2568	Lv52 目標血 2668
s374	effect	T2711「母夜叉」(192,158)	atk_add	265	421	Lv52 目標攻 433（m）
s374	effect	T2711「母夜叉」	area_atk	3164	0	區域加攻歸零，總量折入格效果
s374	effect	T2712「青武」(237,133)	hp_add	1223	2780	Lv55 目標血 2830
s374	effect	T2712「青武」(237,133)	atk_add	409	253	Lv55 目標攻 262（rf）
s374	effect	T2712「青武」(230,117)	hp_add	1223	2780	Lv55 目標血 2830
s374	effect	T2712「青武」(230,117)	atk_add	409	253	Lv55 目標攻 262（rf）
s374	effect	T2712「青武」(225,132)	hp_add	1223	2780	Lv55 目標血 2830
s374	effect	T2712「青武」(225,132)	atk_add	409	253	Lv55 目標攻 262（rf）
s374	effect	T2712「青武」(231,124)	hp_add	1223	2780	Lv55 目標血 2830
s374	effect	T2712「青武」(231,124)	atk_add	409	253	Lv55 目標攻 262（rf）
s374	effect	T2712「青武」(237,116)	hp_add	1223	2780	Lv55 目標血 2830
s374	effect	T2712「青武」(237,116)	atk_add	409	253	Lv55 目標攻 262（rf）
s374	effect	T2715「孽僧」(140,181)	hp_add	2388	2971	Lv59 目標血 3046
s374	effect	T2715「孽僧」(140,181)	atk_add	410	467	Lv59 目標攻 494（m）
s374	effect	T2715「孽僧」(130,178)	hp_add	2388	2971	Lv59 目標血 3046
s374	effect	T2715「孽僧」(130,178)	atk_add	410	467	Lv59 目標攻 494（m）
s374	effect	T2715「孽僧」(144,173)	hp_add	2388	2971	Lv59 目標血 3046
s374	effect	T2715「孽僧」(144,173)	atk_add	410	467	Lv59 目標攻 494（m）
s374	effect	T2715「孽僧」(134,173)	hp_add	2388	2971	Lv59 目標血 3046
s374	effect	T2715「孽僧」(134,173)	atk_add	410	467	Lv59 目標攻 494（m）
s374	effect	T2715「孽僧」(124,170)	hp_add	2388	2971	Lv59 目標血 3046
s374	effect	T2715「孽僧」(124,170)	atk_add	410	467	Lv59 目標攻 494（m）
s374	effect	T2715「孽僧」(119,164)	hp_add	2388	2971	Lv59 目標血 3046
s374	effect	T2715「孽僧」(119,164)	atk_add	410	467	Lv59 目標攻 494（m）
s374	effect	T2715「孽僧」(123,157)	hp_add	2388	2971	Lv59 目標血 3046
s374	effect	T2715「孽僧」(123,157)	atk_add	410	467	Lv59 目標攻 494（m）
s374	effect	T2715「孽僧」(131,157)	hp_add	2388	2971	Lv59 目標血 3046
s374	effect	T2715「孽僧」(131,157)	atk_add	410	467	Lv59 目標攻 494（m）
s374	effect	T2715「孽僧」(138,163)	hp_add	2388	2971	Lv59 目標血 3046
s374	effect	T2715「孽僧」(138,163)	atk_add	410	467	Lv59 目標攻 494（m）
s374	effect	T2715「孽僧」	global_atk	2697	0	全域加攻歸零，總量折入格效果
s374	effect	T2716「獅頭魔」(132,217)	hp_add	6438	3000	Lv60 目標血 3100
s374	effect	T2716「獅頭魔」(132,217)	atk_add	847	411	Lv60 目標攻 428（f）
s374	effect	T2716「獅頭魔」(142,215)	hp_add	6438	3000	Lv60 目標血 3100
s374	effect	T2716「獅頭魔」(142,215)	atk_add	847	411	Lv60 目標攻 428（f）
s374	effect	T2716「獅頭魔」(137,218)	hp_add	6438	3000	Lv60 目標血 3100
s374	effect	T2716「獅頭魔」(137,218)	atk_add	847	411	Lv60 目標攻 428（f）
s374	effect	T2716「獅頭魔」(137,212)	hp_add	6438	3000	Lv60 目標血 3100
s374	effect	T2716「獅頭魔」(137,212)	atk_add	847	411	Lv60 目標攻 428（f）
