step	kind	target	field	old	new	reason
s375	cond_convert	T3C0	type	KR≥1	V1>V11	擊殺變數化
s375	cond_convert	T4C0	type	KR≥1	V2>V12	擊殺變數化
s375	cond_convert	T7C0	type	KR≥1	V1>V11	擊殺變數化
s375	cond_convert	T8C0	type	KR≥1	V2>V12	擊殺變數化
s375	cond_convert	T9C0	type	KR≥1	V3>V13	擊殺變數化
s375	cond_convert	T10C0	type	KR≥1	V3>V13	擊殺變數化
s375	cond_convert	T12C0	type	KR≥1	V4>V14	擊殺變數化
s375	cond_convert	T13C0	type	KR≥1	V4>V14	擊殺變數化
s375	cond_convert	T15C0	type	KR≥1	V5>V15	擊殺變數化
s375	cond_convert	T16C0	type	KR≥1	V5>V15	擊殺變數化
s375	cond_convert	T18C0	type	KR≥1	V6>V16	擊殺變數化
s375	cond_convert	T19C0	type	KR≥1	V6>V16	擊殺變數化
s375	cond_convert	T27C0	type	KR≥1	V1>V11	擊殺變數化
s375	cond_convert	T29C0	type	KR≥1	V2>V12	擊殺變數化
s375	cond_convert	T31C0	type	KR≥1	V3>V13	擊殺變數化
s375	cond_convert	T33C0	type	KR≥1	V4>V14	擊殺變數化
s375	cond_convert	T35C0	type	KR≥1	V5>V15	擊殺變數化
s375	cond_convert	T37C0	type	KR≥1	V6>V16	擊殺變數化
s375	cond_convert	T75C0	type	KR≥1	V1>V11	擊殺變數化
s375	cond_convert	T77C0	type	KR≥1	V2>V12	擊殺變數化
s375	cond_convert	T79C0	type	KR≥1	V3>V13	擊殺變數化
s375	cond_convert	T81C0	type	KR≥1	V4>V14	擊殺變數化
s375	cond_convert	T83C0	type	KR≥1	V5>V15	擊殺變數化
s375	cond_convert	T85C0	type	KR≥1	V6>V16	擊殺變數化
s375	cond_convert	T456C0	type	KR≥1	V1>V11	擊殺變數化
s375	cond_convert	T458C0	type	KR≥1	V2>V12	擊殺變數化
s375	cond_convert	T460C0	type	KR≥1	V3>V13	擊殺變數化
s375	cond_convert	T462C0	type	KR≥1	V4>V14	擊殺變數化
s375	cond_convert	T464C0	type	KR≥1	V5>V15	擊殺變數化
s375	cond_convert	T466C0	type	KR≥1	V6>V16	擊殺變數化
s375	cond_convert	T486C0	type	KR≥1	V1>V11	擊殺變數化
s375	cond_convert	T488C0	type	KR≥1	V2>V12	擊殺變數化
s375	cond_convert	T490C0	type	KR≥1	V3>V13	擊殺變數化
s375	cond_convert	T492C0	type	KR≥1	V4>V14	擊殺變數化
s375	cond_convert	T494C0	type	KR≥1	V5>V15	擊殺變數化
s375	cond_convert	T496C0	type	KR≥1	V6>V16	擊殺變數化
s375	cond_convert	T648C0	type	KR≥1	V1>V11	擊殺變數化
s375	cond_convert	T650C0	type	KR≥1	V2>V12	擊殺變數化
