step	kind	target	field	old	new	reason
s38	unit_field	ref0	owner/pos	(76.5, 104.5, <PlayerId.ONE: 1>)	P8@(78.5,108.5)	職業1展示英雄
s38	unit_add	ref50439駐ref50438	unit		const845	職業1第2命備身+容器
s38	unit_add	ref50441駐ref50440	unit		const845	職業1第3命備身+容器
s38	unit_field	ref1	owner/pos	(75.5, 115.5, <PlayerId.TWO: 2>)	P8@(80.5,108.5)	職業2展示英雄
s38	unit_add	ref50443駐ref50442	unit		const432	職業2第2命備身+容器
s38	unit_add	ref50445駐ref50444	unit		const432	職業2第3命備身+容器
s38	unit_field	ref2	owner/pos	(88.5, 107.5, <PlayerId.THREE: 3>)	P8@(82.5,108.5)	職業3展示英雄
s38	unit_add	ref50447駐ref50446	unit		const752	職業3第2命備身+容器
s38	unit_add	ref50449駐ref50448	unit		const752	職業3第3命備身+容器
s38	unit_field	ref502	owner/pos	(86.5, 113.5, <PlayerId.FOUR: 4>)	P8@(83.5,109.5)	職業4展示英雄
s38	unit_add	ref50451駐ref50450	unit		const428	職業4第2命備身+容器
s38	unit_add	ref50453駐ref50452	unit		const428	職業4第3命備身+容器
s38	unit_field	ref7	owner/pos	(75.5, 111.5, <PlayerId.FIVE: 5>)	P8@(83.5,111.5)	職業5展示英雄
s38	unit_add	ref50455駐ref50454	unit		const1811	職業5第2命備身+容器
s38	unit_add	ref50457駐ref50456	unit		const1811	職業5第3命備身+容器
s38	unit_field	ref45117	owner/pos	(85.5, 103.5, <PlayerId.SIX: 6>)	P8@(83.5,113.5)	職業6展示英雄
s38	unit_add	ref50459駐ref50458	unit		const765	職業6第2命備身+容器
s38	unit_add	ref50461駐ref50460	unit		const765	職業6第3命備身+容器
s38	unit_add	ref50462	unit		const448	位1領航員
s38	unit_add	ref50463	unit		const448	位2領航員
s38	unit_add	ref50464	unit		const448	位3領航員
s38	unit_add	ref50465	unit		const448	位4領航員
s38	unit_add	ref50466	unit		const448	位5領航員
s38	unit_add	ref50467	unit		const448	位6領航員
s38	trigger_add	選角初始化	trigger		新增	展示改名/凍結/備身轉Gaia/領航員/鏡頭/選角提示600秒
s38	trigger_add	展示無敵1	trigger		新增	循環灌血；選角時停用並重設血量（s39）
s38	trigger_add	展示無敵2	trigger		新增	循環灌血；選角時停用並重設血量（s39）
s38	trigger_add	展示無敵3	trigger		新增	循環灌血；選角時停用並重設血量（s39）
s38	trigger_add	展示無敵4	trigger		新增	循環灌血；選角時停用並重設血量（s39）
s38	trigger_add	展示無敵5	trigger		新增	循環灌血；選角時停用並重設血量（s39）
s38	trigger_add	展示無敵6	trigger		新增	循環灌血；選角時停用並重設血量（s39）
