step	kind	target	field	old	new	reason
s39	trigger_add	3-6打坐◇騎池1	trigger		T5632	looping 池 -1/輪 旗標閘控灌備身
s39	trigger_add	3-6打坐◇騎池2	trigger		T5633	looping 池 -1/輪 旗標閘控灌備身
s39	trigger_add	3-6打坐◇騎池3	trigger		T5634	looping 池 -1/輪 旗標閘控灌備身
s39	trigger_add	3-6打坐◇騎池4	trigger		T5635	looping 池 -1/輪 旗標閘控灌備身
s39	trigger_add	3-6打坐◇騎池5	trigger		T5636	looping 池 -1/輪 旗標閘控灌備身
s39	trigger_add	3-6打坐◇騎池6	trigger		T5637	looping 池 -1/輪 旗標閘控灌備身
s39	trigger_add	1治毒◇騎池1	trigger		T5638	looping 池 -6/輪 旗標閘控灌備身
s39	trigger_add	2治療◇騎池2	trigger		T5639	looping 池 -10/輪 旗標閘控灌備身
s39	trigger_add	3治毒◇騎池3	trigger		T5640	looping 池 -13/輪 旗標閘控灌備身
s39	trigger_add	4治療◇騎池4	trigger		T5641	looping 池 -20/輪 旗標閘控灌備身
s39	trigger_add	5治毒◇騎池5	trigger		T5642	looping 池 -10/輪 旗標閘控灌備身
s39	trigger_add	6治毒◇騎池6	trigger		T5643	looping 池 -15/輪 旗標閘控灌備身
s39	trigger_add	1幸◇騎池1	trigger		T5644	looping 池 -60/輪 旗標閘控灌備身
s39	trigger_add	2幸◇騎池2	trigger		T5645	looping 池 -70/輪 旗標閘控灌備身
s39	trigger_add	3幸◇騎池3	trigger		T5646	looping 池 -75/輪 旗標閘控灌備身
s39	trigger_add	4幸◇騎池4	trigger		T5647	looping 池 -91/輪 旗標閘控灌備身
s39	trigger_add	5幸◇騎池5	trigger		T5648	looping 池 -60/輪 旗標閘控灌備身
s39	trigger_add	6幸◇騎池6	trigger		T5649	looping 池 -86/輪 旗標閘控灌備身
s39	trigger_add	1治病◇騎池1	trigger		T5650	looping 池 -20/輪 旗標閘控灌備身
s39	trigger_add	2治病◇騎池2	trigger		T5651	looping 池 -25/輪 旗標閘控灌備身
s39	trigger_add	3治病◇騎池3	trigger		T5652	looping 池 -27/輪 旗標閘控灌備身
s39	trigger_add	4治病◇騎池4	trigger		T5653	looping 池 -56/輪 旗標閘控灌備身
s39	trigger_add	5治病◇騎池5	trigger		T5654	looping 池 -18/輪 旗標閘控灌備身
s39	trigger_add	6治病◇騎池6	trigger		T5655	looping 池 -20/輪 旗標閘控灌備身
s39	trigger_add	1基本◇騎池1	trigger		T5656	looping 池 -110/輪 旗標閘控灌備身
s39	trigger_add	2基本◇騎池2	trigger		T5657	looping 池 -110/輪 旗標閘控灌備身
s39	trigger_add	3基本◇騎池3	trigger		T5658	looping 池 -110/輪 旗標閘控灌備身
s39	trigger_add	4基本◇騎池4	trigger		T5659	looping 池 -120/輪 旗標閘控灌備身
s39	trigger_add	5基本◇騎池5	trigger		T5660	looping 池 -105/輪 旗標閘控灌備身
s39	trigger_add	6基本◇騎池6	trigger		T5661	looping 池 -115/輪 旗標閘控灌備身
s39	trigger_add	2當2◇騎池2	trigger		T5662	looping 池 -100/輪 旗標閘控灌備身
s39	trigger_add	3當2◇騎池3	trigger		T5663	looping 池 -100/輪 旗標閘控灌備身
s39	trigger_add	4當2◇騎池4	trigger		T5664	looping 池 -100/輪 旗標閘控灌備身
s39	trigger_add	5當2◇騎池5	trigger		T5665	looping 池 -100/輪 旗標閘控灌備身
s39	trigger_add	6當2◇騎池6	trigger		T5666	looping 池 -100/輪 旗標閘控灌備身
s39	trigger_add	1松2◇騎池1	trigger		T5667	looping 池 -300/輪 旗標閘控灌備身
s39	trigger_add	2松2◇騎池2	trigger		T5668	looping 池 -300/輪 旗標閘控灌備身
s39	trigger_add	3松2◇騎池3	trigger		T5669	looping 池 -300/輪 旗標閘控灌備身
s39	trigger_add	4松2◇騎池4	trigger		T5670	looping 池 -300/輪 旗標閘控灌備身
s39	trigger_add	5松2◇騎池5	trigger		T5671	looping 池 -300/輪 旗標閘控灌備身
s39	trigger_add	6松2◇騎池6	trigger		T5672	looping 池 -300/輪 旗標閘控灌備身
s39	trigger_add	1功破◇騎池1	trigger		T5673	looping 池 -14/輪 旗標閘控灌備身
s39	trigger_add	2功破◇騎池2	trigger		T5674	looping 池 -14/輪 旗標閘控灌備身
s39	trigger_add	3功破◇騎池3	trigger		T5675	looping 池 -14/輪 旗標閘控灌備身
s39	trigger_add	4功破◇騎池4	trigger		T5676	looping 池 -18/輪 旗標閘控灌備身
s39	trigger_add	5功破◇騎池5	trigger		T5677	looping 池 -12/輪 旗標閘控灌備身
s39	trigger_add	6功破◇騎池6	trigger		T5678	looping 池 -13/輪 旗標閘控灌備身
s39	trigger_add	1打坐◇騎池1	trigger		T5679	looping 池 -18/輪 旗標閘控灌備身
s39	trigger_add	2打坐◇騎池2	trigger		T5680	looping 池 -17/輪 旗標閘控灌備身
s39	trigger_add	3打坐◇騎池3	trigger		T5681	looping 池 -19/輪 旗標閘控灌備身
s39	trigger_add	4打坐◇騎池4	trigger		T5682	looping 池 -24/輪 旗標閘控灌備身
s39	trigger_add	5打坐◇騎池5	trigger		T5683	looping 池 -20/輪 旗標閘控灌備身
s39	trigger_add	6打坐◇騎池6	trigger		T5684	looping 池 -7/輪 旗標閘控灌備身
s39	trigger_add	1傷◇騎池1	trigger		T5685	looping 池 -20/輪 旗標閘控灌備身
s39	trigger_add	2傷◇騎池2	trigger		T5686	looping 池 -20/輪 旗標閘控灌備身
s39	trigger_add	3傷◇騎池3	trigger		T5687	looping 池 -3/輪 旗標閘控灌備身
s39	trigger_add	4傷◇騎池4	trigger		T5688	looping 池 -22/輪 旗標閘控灌備身
s39	trigger_add	5傷◇騎池5	trigger		T5689	looping 池 -120/輪 旗標閘控灌備身
s39	trigger_add	6傷◇騎池6	trigger		T5690	looping 池 -20/輪 旗標閘控灌備身
s39	trigger_add	1針調◇騎池1	trigger		T5691	looping 池 -40/輪 旗標閘控灌備身
s39	trigger_add	2針調◇騎池2	trigger		T5692	looping 池 -40/輪 旗標閘控灌備身
s39	trigger_add	3針調◇騎池3	trigger		T5693	looping 池 -40/輪 旗標閘控灌備身
s39	trigger_add	4針調◇騎池4	trigger		T5694	looping 池 -46/輪 旗標閘控灌備身
s39	trigger_add	5針調◇騎池5	trigger		T5695	looping 池 -38/輪 旗標閘控灌備身
s39	trigger_add	6針調◇騎池6	trigger		T5696	looping 池 -42/輪 旗標閘控灌備身
s39	trigger_add	補池5Q0	trigger		T5697	5啞4 池 -2900000 兩旗齊立灌全備身
s39	trigger_add	補池1Q0	trigger		T5698	1 51-60 池 -300000 兩旗齊立灌全備身
s39	trigger_add	補池2Q0	trigger		T5699	2 51-60 池 -320000 兩旗齊立灌全備身
s39	trigger_add	補池3Q0	trigger		T5700	3 51-60 池 -330000 兩旗齊立灌全備身
s39	trigger_add	補池4Q0	trigger		T5701	4 51-60 池 -310000 兩旗齊立灌全備身
s39	trigger_add	補池5Q1	trigger		T5702	5 51-60 池 -320000 兩旗齊立灌全備身
s39	trigger_add	補池6Q0	trigger		T5703	6 51-60 池 -430000 兩旗齊立灌全備身
s39	trigger_add	1八2◇騎池1	trigger		T5704	looping 池 -600/輪 旗標閘控灌備身
s39	trigger_add	2八2◇騎池2	trigger		T5705	looping 池 -600/輪 旗標閘控灌備身
s39	trigger_add	3八2◇騎池3	trigger		T5706	looping 池 -600/輪 旗標閘控灌備身
s39	trigger_add	4八2◇騎池4	trigger		T5707	looping 池 -600/輪 旗標閘控灌備身
s39	trigger_add	5八2◇騎池5	trigger		T5708	looping 池 -600/輪 旗標閘控灌備身
s39	trigger_add	6八2◇騎池6	trigger		T5709	looping 池 -600/輪 旗標閘控灌備身
s39	trigger_add	補池2Q1	trigger		T5710	2靈2 池 -16000000 兩旗齊立灌全備身
s39	trigger_add	棍1◇騎池4	trigger		T5711	looping 池 -100/輪 旗標閘控灌備身
s39	trigger_add	拳1◇騎池5	trigger		T5712	looping 池 -19/輪 旗標閘控灌備身
s39	trigger_add	槍2◇騎池3	trigger		T5713	looping 池 -2/輪 旗標閘控灌備身
s39	trigger_add	1道2◇騎池1	trigger		T5714	looping 池 -120/輪 旗標閘控灌備身
s39	trigger_add	2道2◇騎池2	trigger		T5715	looping 池 -120/輪 旗標閘控灌備身
s39	trigger_add	3道2◇騎池3	trigger		T5716	looping 池 -120/輪 旗標閘控灌備身
s39	trigger_add	4道2◇騎池4	trigger		T5717	looping 池 -130/輪 旗標閘控灌備身
s39	trigger_add	5道2◇騎池5	trigger		T5718	looping 池 -120/輪 旗標閘控灌備身
s39	trigger_add	6道2◇騎池6	trigger		T5719	looping 池 -126/輪 旗標閘控灌備身
s39	trigger_add	1道3◇騎池1	trigger		T5720	looping 池 -120/輪 旗標閘控灌備身
s39	trigger_add	2道3◇騎池2	trigger		T5721	looping 池 -120/輪 旗標閘控灌備身
s39	trigger_add	3道3◇騎池3	trigger		T5722	looping 池 -120/輪 旗標閘控灌備身
s39	trigger_add	4道3◇騎池4	trigger		T5723	looping 池 -132/輪 旗標閘控灌備身
