step	kind	target	field	old	new	reason
s40	unit	ref38862 亡魂之堡	max_hp	A	ADD 63736 → 0(回繞)	§5.6/01n 雙0血
s40	unit	ref31245 聚魂塔	max_hp	A	ADD 42736 → 0(回繞)	§5.6/01n 雙0血
s40	unit	ref30806 界線牆91_2	max_hp	A	ADD 55536 → 0(回繞)	§5.6/01n 雙0血
s40	unit	ref30807 界線牆91_3	max_hp	A	ADD 55536 → 0(回繞)	§5.6/01n 雙0血
s40	unit	ref30808 界線牆80_6	max_hp	A	ADD 55536 → 0(回繞)	§5.6/01n 雙0血
s40	unit	ref30370 界線牆73_0	max_hp	A	ADD 55536 → 0(回繞)	§5.6/01n 雙0血
s40	unit	ref30371 界線牆73_1	max_hp	A	ADD 55536 → 0(回繞)	§5.6/01n 雙0血
s40	unit	ref30809 界線牆73_2	max_hp	A	ADD 55536 → 0(回繞)	§5.6/01n 雙0血
s40	unit	ref30810 界線牆73_3	max_hp	A	ADD 55536 → 0(回繞)	§5.6/01n 雙0血
s40	unit	ref30811 界線牆73_4	max_hp	A	ADD 55536 → 0(回繞)	§5.6/01n 雙0血
s40	unit	ref30812 界線牆73_5	max_hp	A	ADD 55536 → 0(回繞)	§5.6/01n 雙0血
s40	unit	ref30388 界線牆73_6	max_hp	A	ADD 55536 → 0(回繞)	§5.6/01n 雙0血
s40	unit	ref30387 界線牆73_7	max_hp	A	ADD 55536 → 0(回繞)	§5.6/01n 雙0血
s40	trigger_add	T5599「ZZ_雙0血」	—	—	13 個效果	§5.7
