step	kind	target	field	old	new	reason
s50	trigger_add	T32288「ZZ_血條_亡魂之堡_99」	threshold	—	HP<5940772	§5.7a 樣式3
s50	trigger_add	T32289「ZZ_血條_亡魂之堡_98」	threshold	—	HP<5880764	§5.7a 樣式3
s50	trigger_add	T32290「ZZ_血條_亡魂之堡_97」	threshold	—	HP<5820756	§5.7a 樣式3
s50	trigger_add	T32291「ZZ_血條_亡魂之堡_96」	threshold	—	HP<5760748	§5.7a 樣式3
s50	trigger_add	T32292「ZZ_血條_亡魂之堡_95」	threshold	—	HP<5700741	§5.7a 樣式3
s50	trigger_add	T32293「ZZ_血條_亡魂之堡_94」	threshold	—	HP<5640733	§5.7a 樣式3
s50	trigger_add	T32294「ZZ_血條_亡魂之堡_93」	threshold	—	HP<5580725	§5.7a 樣式3
s50	trigger_add	T32295「ZZ_血條_亡魂之堡_92」	threshold	—	HP<5520717	§5.7a 樣式3
s50	trigger_add	T32296「ZZ_血條_亡魂之堡_91」	threshold	—	HP<5460709	§5.7a 樣式3
s50	trigger_add	T32297「ZZ_血條_亡魂之堡_90」	threshold	—	HP<5400702	§5.7a 樣式3
s50	trigger_add	T32298「ZZ_血條_亡魂之堡_89」	threshold	—	HP<5340694	§5.7a 樣式3
s50	trigger_add	T32299「ZZ_血條_亡魂之堡_88」	threshold	—	HP<5280686	§5.7a 樣式3
s50	trigger_add	T32300「ZZ_血條_亡魂之堡_87」	threshold	—	HP<5220678	§5.7a 樣式3
s50	trigger_add	T32301「ZZ_血條_亡魂之堡_86」	threshold	—	HP<5160670	§5.7a 樣式3
s50	trigger_add	T32302「ZZ_血條_亡魂之堡_85」	threshold	—	HP<5100663	§5.7a 樣式3
s50	trigger_add	T32303「ZZ_血條_亡魂之堡_84」	threshold	—	HP<5040655	§5.7a 樣式3
s50	trigger_add	T32304「ZZ_血條_亡魂之堡_83」	threshold	—	HP<4980647	§5.7a 樣式3
s50	trigger_add	T32305「ZZ_血條_亡魂之堡_82」	threshold	—	HP<4920639	§5.7a 樣式3
s50	trigger_add	T32306「ZZ_血條_亡魂之堡_81」	threshold	—	HP<4860631	§5.7a 樣式3
s50	trigger_add	T32307「ZZ_血條_亡魂之堡_80」	threshold	—	HP<4800624	§5.7a 樣式3
s50	trigger_add	T32308「ZZ_血條_亡魂之堡_79」	threshold	—	HP<4740616	§5.7a 樣式3
s50	trigger_add	T32309「ZZ_血條_亡魂之堡_78」	threshold	—	HP<4680608	§5.7a 樣式3
s50	trigger_add	T32310「ZZ_血條_亡魂之堡_77」	threshold	—	HP<4620600	§5.7a 樣式3
s50	trigger_add	T32311「ZZ_血條_亡魂之堡_76」	threshold	—	HP<4560592	§5.7a 樣式3
s50	trigger_add	T32312「ZZ_血條_亡魂之堡_75」	threshold	—	HP<4500585	§5.7a 樣式3
s50	trigger_add	T32313「ZZ_血條_亡魂之堡_74」	threshold	—	HP<4440577	§5.7a 樣式3
s50	trigger_add	T32314「ZZ_血條_亡魂之堡_73」	threshold	—	HP<4380569	§5.7a 樣式3
s50	trigger_add	T32315「ZZ_血條_亡魂之堡_72」	threshold	—	HP<4320561	§5.7a 樣式3
s50	trigger_add	T32316「ZZ_血條_亡魂之堡_71」	threshold	—	HP<4260553	§5.7a 樣式3
s50	trigger_add	T32317「ZZ_血條_亡魂之堡_70」	threshold	—	HP<4200546	§5.7a 樣式3
s50	trigger_add	T32318「ZZ_血條_亡魂之堡_69」	threshold	—	HP<4140538	§5.7a 樣式3
s50	trigger_add	T32319「ZZ_血條_亡魂之堡_68」	threshold	—	HP<4080530	§5.7a 樣式3
s50	trigger_add	T32320「ZZ_血條_亡魂之堡_67」	threshold	—	HP<4020522	§5.7a 樣式3
s50	trigger_add	T32321「ZZ_血條_亡魂之堡_66」	threshold	—	HP<3960514	§5.7a 樣式3
s50	trigger_add	T32322「ZZ_血條_亡魂之堡_65」	threshold	—	HP<3900507	§5.7a 樣式3
s50	trigger_add	T32323「ZZ_血條_亡魂之堡_64」	threshold	—	HP<3840499	§5.7a 樣式3
s50	trigger_add	T32324「ZZ_血條_亡魂之堡_63」	threshold	—	HP<3780491	§5.7a 樣式3
s50	trigger_add	T32325「ZZ_血條_亡魂之堡_62」	threshold	—	HP<3720483	§5.7a 樣式3
s50	trigger_add	T32326「ZZ_血條_亡魂之堡_61」	threshold	—	HP<3660475	§5.7a 樣式3
s50	trigger_add	T32327「ZZ_血條_亡魂之堡_60」	threshold	—	HP<3600468	§5.7a 樣式3
s50	trigger_add	T32328「ZZ_血條_亡魂之堡_59」	threshold	—	HP<3540460	§5.7a 樣式3
s50	trigger_add	T32329「ZZ_血條_亡魂之堡_58」	threshold	—	HP<3480452	§5.7a 樣式3
s50	trigger_add	T32330「ZZ_血條_亡魂之堡_57」	threshold	—	HP<3420444	§5.7a 樣式3
s50	trigger_add	T32331「ZZ_血條_亡魂之堡_56」	threshold	—	HP<3360436	§5.7a 樣式3
s50	trigger_add	T32332「ZZ_血條_亡魂之堡_55」	threshold	—	HP<3300429	§5.7a 樣式3
s50	trigger_add	T32333「ZZ_血條_亡魂之堡_54」	threshold	—	HP<3240421	§5.7a 樣式3
s50	trigger_add	T32334「ZZ_血條_亡魂之堡_53」	threshold	—	HP<3180413	§5.7a 樣式3
s50	trigger_add	T32335「ZZ_血條_亡魂之堡_52」	threshold	—	HP<3120405	§5.7a 樣式3
s50	trigger_add	T32336「ZZ_血條_亡魂之堡_51」	threshold	—	HP<3060397	§5.7a 樣式3
s50	trigger_add	T32337「ZZ_血條_亡魂之堡_50」	threshold	—	HP<3000390	§5.7a 樣式3
s50	trigger_add	T32338「ZZ_血條_亡魂之堡_49」	threshold	—	HP<2940382	§5.7a 樣式3
s50	trigger_add	T32339「ZZ_血條_亡魂之堡_48」	threshold	—	HP<2880374	§5.7a 樣式3
