step	kind	target	field	old	new	reason
s51	effect	T1「名」	caption	「正常　狀態」	清除（職業1＋馬）	spec §二.1 掛字規則
s51	effect	T1「名」	caption	「正常　狀態」	清除（職業2＋馬）	spec §二.1 掛字規則
s51	effect	T1「名」	caption	「正常　狀態」	清除（職業3＋馬）	spec §二.1 掛字規則
s51	effect	T1「名」	caption	「正常　狀態」	清除（職業4＋馬）	spec §二.1 掛字規則
s51	effect	T1「名」	caption	「正常　狀態」	清除（職業5＋馬）	spec §二.1 掛字規則
s51	effect	T1「名」	caption	「正常　狀態」	清除（職業6＋馬）	spec §二.1 掛字規則
s51	effect	T457「1青2」	caption	「解除扣血術   狀態」	清除（職業1＋馬）	spec §二.1 掛字規則
s51	effect	T459「2青2」	caption	「解除扣血術   狀態」	清除（職業2＋馬）	spec §二.1 掛字規則
s51	effect	T461「3青2」	caption	「解除扣血術   狀態」	清除（職業3＋馬）	spec §二.1 掛字規則
s51	effect	T463「4青2」	caption	「解除扣血術   狀態」	清除（職業4＋馬）	spec §二.1 掛字規則
s51	effect	T465「5青2」	caption	「解除扣血術   狀態」	清除（職業5＋馬）	spec §二.1 掛字規則
s51	effect	T467「6青2」	caption	「解除扣血術   狀態」	清除（職業6＋馬）	spec §二.1 掛字規則
s51	effect	T811「1大師」	caption	「破魂毀學術」	「破魂毀學術」（職業1）	spec §二.1 掛字規則
s51	effect	T812「2大師」	caption	「破魂毀學術」	「破魂毀學術」（職業2）	spec §二.1 掛字規則
s51	effect	T813「3大師」	caption	「破魂毀學術」	「破魂毀學術」（職業3）	spec §二.1 掛字規則
s51	effect	T814「4大師」	caption	「破魂毀學術」	「破魂毀學術」（職業4）	spec §二.1 掛字規則
s51	effect	T815「5大師」	caption	「破魂毀學術」	「破魂毀學術」（職業5）	spec §二.1 掛字規則
s51	effect	T816「6大師」	caption	「破魂毀學術」	「破魂毀學術」（職業6）	spec §二.1 掛字規則
s51	effect	T1826「1女3」	caption	「醉酒　狀態」	「醉酒」（職業1）	spec §二.1 掛字規則
s51	report	T1826「1女3」	職業1	「醉酒　狀態」	非本體ref鍵寫入器；父觸發：T1825「1女2」	騎預置馬期間可能顯示缺口，複核用
s51	effect	T1827「1女4」	caption	「正常　狀態」	清除（職業1＋馬）	spec §二.1 掛字規則
s51	effect	T1830「2女3」	caption	「醉酒　狀態」	「醉酒」（職業2）	spec §二.1 掛字規則
s51	report	T1830「2女3」	職業2	「醉酒　狀態」	非本體ref鍵寫入器；父觸發：T1829「2女2」	騎預置馬期間可能顯示缺口，複核用
s51	effect	T1831「2女4」	caption	「正常　狀態」	清除（職業2＋馬）	spec §二.1 掛字規則
s51	effect	T1834「3女3」	caption	「醉酒　狀態」	「醉酒」（職業3）	spec §二.1 掛字規則
s51	report	T1834「3女3」	職業3	「醉酒　狀態」	非本體ref鍵寫入器；父觸發：T1833「3女2」	騎預置馬期間可能顯示缺口，複核用
s51	effect	T1835「3女4」	caption	「正常　狀態」	清除（職業3＋馬）	spec §二.1 掛字規則
s51	effect	T1838「4女3」	caption	「醉酒　狀態」	「醉酒」（職業4）	spec §二.1 掛字規則
s51	report	T1838「4女3」	職業4	「醉酒　狀態」	非本體ref鍵寫入器；父觸發：T1837「4女2」	騎預置馬期間可能顯示缺口，複核用
s51	effect	T1839「4女4」	caption	「正常　狀態」	清除（職業4＋馬）	spec §二.1 掛字規則
s51	effect	T1842「5女3」	caption	「醉酒　狀態」	「醉酒」（職業5）	spec §二.1 掛字規則
s51	report	T1842「5女3」	職業5	「醉酒　狀態」	非本體ref鍵寫入器；父觸發：T1841「5女2」	騎預置馬期間可能顯示缺口，複核用
s51	effect	T1843「5女4」	caption	「正常　狀態」	清除（職業5＋馬）	spec §二.1 掛字規則
s51	effect	T1846「6女3」	caption	「醉酒　狀態」	「醉酒」（職業6）	spec §二.1 掛字規則
s51	report	T1846「6女3」	職業6	「醉酒　狀態」	非本體ref鍵寫入器；父觸發：T1845「6女2」	騎預置馬期間可能顯示缺口，複核用
s51	effect	T1847「6女4」	caption	「正常　狀態」	清除（職業6＋馬）	spec §二.1 掛字規則
s51	effect	T2820「1武2」	caption	「逆流術相衝回血術」	「逆流術相衝回血術」（職業1）	spec §二.1 掛字規則
s51	report	T2820「1武2」	職業1	「逆流術相衝回血術」	非本體ref鍵寫入器；父觸發：T2819「1武」、T6432「1武◇位2」、T7261「1武◇位3」、T8090「1武◇位4」、T8919「1武◇位5」、T9748「1武◇位6」	騎預置馬期間可能顯示缺口，複核用
s51	effect	T2822「2武2」	caption	「逆流術相衝回血術」	「逆流術相衝回血術」（職業2）	spec §二.1 掛字規則
s51	report	T2822「2武2」	職業2	「逆流術相衝回血術」	非本體ref鍵寫入器；父觸發：T2821「2武」、T10576「2武◇位1」、T11416「2武◇位3」、T12256「2武◇位4」、T13096「2武◇位5」、T13936「2武◇位6」	騎預置馬期間可能顯示缺口，複核用
s51	effect	T2824「3武2」	caption	「逆流術相衝回血術」	「逆流術相衝回血術」（職業3）	spec §二.1 掛字規則
s51	report	T2824「3武2」	職業3	「逆流術相衝回血術」	非本體ref鍵寫入器；父觸發：T2823「3武」、T14776「3武◇位1」、T15602「3武◇位2」、T16428「3武◇位4」、T17254「3武◇位5」、T18080「3武◇位6」	騎預置馬期間可能顯示缺口，複核用
s51	effect	T2826「4武2」	caption	「逆流術相衝回血術」	「逆流術相衝回血術」（職業4）	spec §二.1 掛字規則
s51	report	T2826「4武2」	職業4	「逆流術相衝回血術」	非本體ref鍵寫入器；父觸發：T2825「4武」、T18907「4武◇位1」、T19742「4武◇位2」、T20577「4武◇位3」、T21412「4武◇位5」、T22247「4武◇位6」	騎預置馬期間可能顯示缺口，複核用
s51	effect	T2828「5武2」	caption	「逆流術相衝回血術」	「逆流術相衝回血術」（職業5）	spec §二.1 掛字規則
s51	report	T2828「5武2」	職業5	「逆流術相衝回血術」	非本體ref鍵寫入器；父觸發：T2827「5武」、T23081「5武◇位1」、T23911「5武◇位2」、T24741「5武◇位3」、T25571「5武◇位4」、T26401「5武◇位6」	騎預置馬期間可能顯示缺口，複核用
s51	effect	T2830「6武2」	caption	「逆流術相衝回血術」	「逆流術相衝回血術」（職業6）	spec §二.1 掛字規則
s51	report	T2830「6武2」	職業6	「逆流術相衝回血術」	非本體ref鍵寫入器；父觸發：T2829「6武」、T27231「6武◇位1」、T28088「6武◇位2」、T28945「6武◇位3」、T29802「6武◇位4」、T30659「6武◇位5」	騎預置馬期間可能顯示缺口，複核用
s51	effect	T3046「1鋼2」	caption	「解除扣血術   狀態」	清除（職業1＋馬）	spec §二.1 掛字規則
s51	effect	T3048「2鋼2」	caption	「解除扣血術   狀態」	清除（職業2＋馬）	spec §二.1 掛字規則
s51	effect	T3050「3鋼2」	caption	「解除扣血術   狀態」	清除（職業3＋馬）	spec §二.1 掛字規則
s51	effect	T3052「4鋼2」	caption	「解除扣血術   狀態」	清除（職業4＋馬）	spec §二.1 掛字規則
s51	effect	T3054「5鋼2」	caption	「解除扣血術   狀態」	清除（職業5＋馬）	spec §二.1 掛字規則
s51	effect	T3056「6鋼2」	caption	「解除扣血術   狀態」	清除（職業6＋馬）	spec §二.1 掛字規則
s51	effect	T3986「3缺2」	caption	「八仙過海圖   槍俠勇氣+12   秘笈之路開啟(回血術)」	「八仙過海圖 槍俠勇氣+12 秘笈之路開啟(回血術)」（職業3）	spec §二.1 掛字規則
s51	report	T3986「3缺2」	職業3	「八仙過海圖   槍俠勇氣+12   秘笈之路開啟(回血術)」	非本體ref鍵寫入器；父觸發：T31715「啟動3位3#1」	騎預置馬期間可能顯示缺口，複核用
s51	effect	T4299「1酒3」	caption	「醉酒　狀態」	「醉酒」（職業1）	spec §二.1 掛字規則
s51	report	T4299「1酒3」	職業1	「醉酒　狀態」	非本體ref鍵寫入器；父觸發：T4298「1酒2」	騎預置馬期間可能顯示缺口，複核用
s51	effect	T4300「1酒4」	caption	「正常　狀態」	清除（職業1＋馬）	spec §二.1 掛字規則
s51	effect	T4303「2酒3」	caption	「醉酒　狀態」	「醉酒」（職業2）	spec §二.1 掛字規則
s51	report	T4303「2酒3」	職業2	「醉酒　狀態」	非本體ref鍵寫入器；父觸發：T4302「2酒2」	騎預置馬期間可能顯示缺口，複核用
s51	effect	T4304「2酒4」	caption	「正常　狀態」	清除（職業2＋馬）	spec §二.1 掛字規則
