step	kind	target	field	old	new	reason
s85	glyph	劇情文字.instructions	text	遊戲方法：    100級可解神兵任務與青書(青囊書)    新增回血術 劍, 槍, 棍, 拳 …	遊戲方法：    100級可解神兵任務與青書(青囊書)    新增回血術 劍, 槍, 棍, 拳 …	DE 字圖集覆蓋外的字，遊戲中會開天窗（裁決見 reports/字型缺字裁決.md）
s85	glyph	劇情文字.hints	text	此遊戲的方式如下：  木材=技能點數  技能點數可以隨你喜好學技能(只可選擇佛，道，醫)(刀劍槍…	此遊戲的方式如下：  木材=技能點數  技能點數可以隨你喜好學技能(只可選擇佛，道，醫)(刀劍槍…	DE 字圖集覆蓋外的字，遊戲中會開天窗（裁決見 reports/字型缺字裁決.md）
s85	glyph	劇情文字.victory	text	本人　９２１特別鳴謝作者修改者911努力努力製作，本人後續修改不提供任豪網站下載，本人非劇情網會…	本人　921特別鳴謝作者修改者911努力努力製作，本人後續修改不提供任豪網站下載，本人非劇情網會…	DE 字圖集覆蓋外的字，遊戲中會開天窗（裁決見 reports/字型缺字裁決.md）
s85	glyph	劇情文字.loss	text	改檔後請列明:  911 改    ９２１    修  棍客進入 段千往生無法解,  修  端木…	改檔後請列明:  911 改    921    修  棍客進入 段千往生無法解,  修  端木…	DE 字圖集覆蓋外的字，遊戲中會開天窗（裁決見 reports/字型缺字裁決.md）
s85	glyph	劇情文字.history	text	改檔後請列明:    911 改  921再次修正  新增回血術 劍, 槍, 棍, 拳   這些…	改檔後請列明:    911 改  921再次修正  新增回血術 劍, 槍, 棍, 拳   這些…	DE 字圖集覆蓋外的字，遊戲中會開天窗（裁決見 reports/字型缺字裁決.md）
s85	glyph	劇情文字.scouts	text	　　　刀　　　劍　　　槍　　　棍　　　拳　　　暗　　　佛　　　道　　　醫　　　  　1  　教頭…	　　　刀　　　劍　　　槍　　　棍　　　拳　　　暗　　　佛　　　道　　　醫　　　  　1  　教頭…	DE 字圖集覆蓋外的字，遊戲中會開天窗（裁決見 reports/字型缺字裁決.md）
s85	glyph	T160「8城」E#8	text	客棧	客店	DE 字圖集覆蓋外的字，遊戲中會開天窗（裁決見 reports/字型缺字裁決.md）
s85	glyph	T160「8城」E#52	text	白雲城雜貨店老闆	白雲城雜貨店老板	DE 字圖集覆蓋外的字，遊戲中會開天窗（裁決見 reports/字型缺字裁決.md）
s85	glyph	T987「2 35」E#3	text	<ORANGE>中原人士：你想修煉已經可以到金鵬島試煉看看了！	<ORANGE>中原人士：你想修煉已經可以到金鷹島試煉看看了！	DE 字圖集覆蓋外的字，遊戲中會開天窗（裁決見 reports/字型缺字裁決.md）
s85	glyph	T1011「3 38」E#3	text	<ORANGE>中原人士：你想修煉已經可以到金鵬島試煉看看了！	<ORANGE>中原人士：你想修煉已經可以到金鷹島試煉看看了！	DE 字圖集覆蓋外的字，遊戲中會開天窗（裁決見 reports/字型缺字裁決.md）
