群	成員id	判定	原因
組_4972	[4972, 4973]	auto	物件全數可解析、啟動邊全數可配對
組_4974	[4974, 4975]	auto	物件全數可解析、啟動邊全數可配對
組_4976	[4976, 4977]	auto	物件全數可解析、啟動邊全數可配對
組_4978	[4978, 4979]	auto	物件全數可解析、啟動邊全數可配對
1	[1931]	auto	物件全數可解析、啟動邊全數可配對
1草2	[3735]	auto	物件全數可解析、啟動邊全數可配對
8城	[159]	auto	物件全數可解析、啟動邊全數可配對
8城名	[160]	patch	ref 衝突（兩版同 ref 不同物件）: [2548]
1賓	[4143]	auto	物件全數可解析、啟動邊全數可配對
武士2	[4669]	auto	物件全數可解析、啟動邊全數可配對
成及2	[4672]	auto	物件全數可解析、啟動邊全數可配對
書部台2	[4674]	auto	物件全數可解析、啟動邊全數可配對
1派	[4164]	auto	物件全數可解析、啟動邊全數可配對
幫眾	[4447]	auto	物件全數可解析、啟動邊全數可配對
拳	[4451]	patch	ref 衝突（兩版同 ref 不同物件）: [30320]
棍	[4453]	auto	物件全數可解析、啟動邊全數可配對
刀	[4459]	patch	ref 衝突（兩版同 ref 不同物件）: [30316]
觸發事件 5231	[5231]	auto	物件全數可解析、啟動邊全數可配對
