trigger_id	trigger_name	effect_index	de_raw	de_class	de_amount	restored_value	new_operation
1	名	52	2555920	39	16	10000	ADD
160	8城名	16	852162	13	194	3522	ADD
160	8城名	24	65570	1	34	290	ADD
160	8城名	26	196633	3	25	793	ADD
160	8城名	34	196828	3	220	988	ADD
160	8城名	37	131148	2	76	588	ADD
160	8城名	43	65776	1	240	496	ADD
160	8城名	62	917649	14	145	3729	ADD
1811	白2	7	1245303	19	119	4983	ADD
1827	1女4	1	-20	-1	65516	20	SUBTRACT
1827	1女4	4	-20	-1	65516	20	SUBTRACT
1831	2女4	2	-30	-1	65506	30	SUBTRACT
1831	2女4	4	-30	-1	65506	30	SUBTRACT
1835	3女4	2	-20	-1	65516	20	SUBTRACT
1835	3女4	4	-20	-1	65516	20	SUBTRACT
1839	4女4	2	-20	-1	65516	20	SUBTRACT
1839	4女4	4	-20	-1	65516	20	SUBTRACT
1843	5女4	2	-20	-1	65516	20	SUBTRACT
1843	5女4	4	-20	-1	65516	20	SUBTRACT
1847	6女4	2	-20	-1	65516	20	SUBTRACT
1847	6女4	4	-20	-1	65516	20	SUBTRACT
2038	少林	10	786647	12	215	3287	ADD
2038	少林	13	655544	10	184	2744	ADD
2038	少林	16	852023	13	55	3383	ADD
2038	少林	19	458957	7	205	1997	ADD
2038	少林	22	721076	11	180	2996	ADD
2038	少林	25	721063	11	167	2983	ADD
2038	少林	30	983183	15	143	3983	ADD
2038	少林	33	1245307	19	123	4987	ADD
2038	少林	36	1507423	23	95	5983	ADD
2038	少林	41	1245307	19	123	4987	ADD
2038	少林	44	589979	9	155	2459	ADD
2038	少林	47	327696	5	16	1296	ADD
2063	1刀32	0	-108	-1	65428	108	SUBTRACT
2063	1刀32	3	-108	-1	65428	108	SUBTRACT
2065	2劍32	0	-138	-1	65398	138	SUBTRACT
2065	2劍32	3	-138	-1	65398	138	SUBTRACT
2067	3槍32	0	-108	-1	65428	108	SUBTRACT
2067	3槍32	3	-108	-1	65428	108	SUBTRACT
2069	4棍32	0	-108	-1	65428	108	SUBTRACT
2069	4棍32	3	-108	-1	65428	108	SUBTRACT
2071	5拳32	0	-88	-1	65448	88	SUBTRACT
2071	5拳32	3	-98	-1	65438	98	SUBTRACT
2073	6箭32	0	-142	-1	65394	142	SUBTRACT
2073	6箭32	3	-142	-1	65394	142	SUBTRACT
2074	1刀5	0	65652	1	116	372	ADD
2074	1刀5	3	65652	1	116	372	ADD
2075	1刀52	0	-65652	-2	65420	372	SUBTRACT
2075	1刀52	3	-65652	-2	65420	372	SUBTRACT
2076	2劍5	0	65757	1	221	477	ADD
2076	2劍5	3	65757	1	221	477	ADD
2077	2劍52	0	-65757	-2	65315	477	SUBTRACT
2077	2劍52	3	-65757	-2	65315	477	SUBTRACT
2078	3槍5	0	65652	1	116	372	ADD
2078	3槍5	3	65652	1	116	372	ADD
2079	3槍52	0	-65652	-2	65420	372	SUBTRACT
2079	3槍52	3	-65652	-2	65420	372	SUBTRACT
2080	4棍5	0	65652	1	116	372	ADD
2080	4棍5	3	65652	1	116	372	ADD
2081	4棍52	0	-65652	-2	65420	372	SUBTRACT
2081	4棍52	3	-65652	-2	65420	372	SUBTRACT
2082	5拳5	0	65644	1	108	364	ADD
2082	5拳5	3	65644	1	108	364	ADD
2083	5拳52	0	-65644	-2	65428	364	SUBTRACT
2083	5拳52	3	-65644	-2	65428	364	SUBTRACT
2084	6箭5	0	131103	2	31	543	ADD
2084	6箭5	3	131103	2	31	543	ADD
2085	6箭52	0	-131103	-3	65505	543	SUBTRACT
2085	6箭52	3	-131103	-3	65505	543	SUBTRACT
2130	快名	34	65595	1	59	315	ADD
2198	1刀7	0	196696	3	88	856	ADD
2198	1刀7	3	196696	3	88	856	ADD
2199	1刀72	0	-196696	-4	65448	856	SUBTRACT
2199	1刀72	3	-196696	-4	65448	856	SUBTRACT
2200	2劍7	0	262236	4	92	1116	ADD
2200	2劍7	3	262236	4	92	1116	ADD
2201	2劍72	0	-262236	-5	65444	1116	SUBTRACT
2201	2劍72	3	-262236	-5	65444	1116	SUBTRACT
2202	3槍7	0	196696	3	88	856	ADD
2202	3槍7	3	196696	3	88	856	ADD
2203	3槍72	0	-196696	-4	65448	856	SUBTRACT
2203	3槍72	3	-196696	-4	65448	856	SUBTRACT
2204	4棍7	0	196696	3	88	856	ADD
2204	4棍7	3	196696	3	88	856	ADD
2205	4棍72	0	-196696	-4	65448	856	SUBTRACT
2205	4棍72	3	-196696	-4	65448	856	SUBTRACT
2206	5拳7	0	131256	2	184	696	ADD
2206	5拳7	3	131256	2	184	696	ADD
2207	5拳72	0	-131256	-3	65352	696	SUBTRACT
2207	5拳72	3	-131256	-3	65352	696	SUBTRACT
2208	6暗7	0	393216	6	0	1536	ADD
2208	6暗7	3	393216	6	0	1536	ADD
2209	6暗72	0	16384000	250	0	1536	SUBTRACT
2209	6暗72	3	16384000	250	0	1536	SUBTRACT
2213	1刀合4	5	65665	1	129	385	ADD
2213	1刀合4	8	65665	1	129	385	ADD
2218	2劍合4	4	65670	1	134	390	ADD
2218	2劍合4	8	65670	1	134	390	ADD
2238	6飛4	4	196675	3	67	835	ADD
2238	6飛4	7	196675	3	67	835	ADD
2280	1刀9	0	1048716	16	140	4236	ADD
2280	1刀9	2	1048716	16	140	4236	ADD
2281	1刀92	0	15663220	239	116	4236	SUBTRACT
2281	1刀92	2	15663220	239	116	4236	SUBTRACT
2282	2劍9	0	1048716	16	140	4236	ADD
2282	2劍9	2	1048716	16	140	4236	ADD
2283	2劍92	0	15663220	239	116	4236	SUBTRACT
2283	2劍92	2	15663220	239	116	4236	SUBTRACT
2284	3槍9	0	1179734	18	86	4694	ADD
2284	3槍9	2	1179734	18	86	4694	ADD
2285	3槍92	0	15532202	237	170	4694	SUBTRACT
2285	3槍92	2	15532202	237	170	4694	SUBTRACT
2286	4棍9	0	917610	14	106	3690	ADD
2286	4棍9	2	917610	14	106	3690	ADD
2287	4棍92	0	15794326	241	150	3690	SUBTRACT
2287	4棍92	2	15794326	241	150	3690	SUBTRACT
2288	5拳9	0	983227	15	187	4027	ADD
2288	5拳9	2	983227	15	187	4027	ADD
2289	5拳92	0	15728709	240	69	4027	SUBTRACT
2289	5拳92	2	15728709	240	69	4027	SUBTRACT
2290	6箭9	0	917625	14	121	3705	ADD
2290	6箭9	3	917625	14	121	3705	ADD
2291	6箭92	0	-917625	-15	65415	3705	SUBTRACT
2291	6箭92	3	-917625	-15	65415	3705	SUBTRACT
2711	母夜叉	3	65545	1	9	265	ADD
2711	母夜叉	7	65545	1	9	265	ADD
2711	母夜叉	11	65545	1	9	265	ADD
2711	母夜叉	15	65545	1	9	265	ADD
2711	母夜叉	19	65545	1	9	265	ADD
2712	青武	3	65689	1	153	409	ADD
2712	青武	7	65689	1	153	409	ADD
2712	青武	11	65689	1	153	409	ADD
2712	青武	15	65689	1	153	409	ADD
2712	青武	19	65689	1	153	409	ADD
2713	渦鬼(珠光)	3	65689	1	153	409	ADD
2713	渦鬼(珠光)	7	65689	1	153	409	ADD
2713	渦鬼(珠光)	11	65689	1	153	409	ADD
2713	渦鬼(珠光)	15	65689	1	153	409	ADD
2713	渦鬼(珠光)	19	65689	1	153	409	ADD
2713	渦鬼(珠光)	23	65689	1	153	409	ADD
2713	渦鬼(珠光)	27	65689	1	153	409	ADD
2713	渦鬼(珠光)	31	65689	1	153	409	ADD
2713	渦鬼(珠光)	35	65689	1	153	409	ADD
2714	渦鬼(殺人)	3	1704005	26	69	6725	ADD
2714	渦鬼(殺人)	7	1704005	26	69	6725	ADD
2714	渦鬼(殺人)	11	1704005	26	69	6725	ADD
2715	孽僧	3	65690	1	154	410	ADD
